model,family,recon_source,embedder,tau,total,control_flow,temporal,data_conditions,binds,attr_domains
model186,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.8115,0.9032,0.7143,0.9091,0.9474,0.5833
model186,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.025,0.125,0.0,0.0,0.0,0.0
model186,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1222,0.2778,0.0,0.3333,0.0,0.0
model191,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.565,0.8919,1.0,0.9333,0.0,0.0
model191,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model191,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.05,0.0833,0.1667,0.0,0.0,0.0
model191,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4221,0.4615,0.3333,1.0,0.3158,0.0
model191,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model191,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4045,0.2727,0.2,0.75,0.05,0.75
model191,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model191,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6048,0.8421,0.9,1.0,0.1,0.1818
model234,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model234,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.3333,0.0,0.0,0.0,0.0
model234,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model234,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4806,0.6667,0.5,0.8571,0.3793,0.0
model234,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.3333,0.0,0.0,0.0,0.0
model234,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1322,0.0,0.0,0.4,0.2609,0.0
model234,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0667,0.3333,0.0,0.0,0.0,0.0
model234,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0182,0.0,0.0,0.0,0.0909,0.0
model53,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.575,0.875,1.0,1.0,0.0,0.0
model53,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model53,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0267,0.1333,0.0,0.0,0.0,0.0
model53,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.185,0.1333,0.125,0.6667,0.0,0.0
model53,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0267,0.1333,0.0,0.0,0.0,0.0
model53,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1385,0.0,0.0,0.0,0.2308,0.4615
model53,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0267,0.1333,0.0,0.0,0.0,0.0
model53,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model81,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model81,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model81,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model81,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1648,0.1875,0.0,0.0,0.6364,0.0
model81,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0471,0.2353,0.0,0.0,0.0,0.0
model81,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3274,0.2941,1.0,0.0,0.2,0.1429
model81,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model81,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model107,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,,,0.0,0.0
model107,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,,,0.0,0.0
model107,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,,,0.0,0.0
model107,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2549,0.7647,,,0.0,0.0
model107,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0606,0.1818,,,0.0,0.0
model107,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.6,,,0.0,0.0
model107,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,,,0.0,0.0
model107,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0606,0.1818,,,0.0,0.0
model15,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5818,0.9091,1.0,1.0,0.0,0.0
model15,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4107,0.5714,0.5,,0.0,0.5714
model15,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0833,0.3333,0.0,,0.0,0.0
model15,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.7164,0.8333,0.8,1.0,0.6154,0.3333
model15,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0833,0.3333,0.0,,0.0,0.0
model15,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6305,0.4615,0.5,,0.8333,0.7273
model15,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0833,0.3333,0.0,,0.0,0.0
model15,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4267,0.3333,0.8,1.0,0.0,0.0
model200,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model200,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.15,0.0,0.0,0.75,0.0,0.0
model200,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model200,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6889,0.7778,1.0,1.0,0.0,0.6667
model200,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1524,0.4286,0.0,0.3333,0.0,0.0
model200,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4457,0.4545,0.6667,0.75,0.3571,0.0
model200,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model200,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.38,0.5,0.4,1.0,0.0,0.0
model212,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model212,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3143,0.5714,0.0,1.0,0.0,0.0
model212,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model212,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0455,0.1818,0.0,,0.0,0.0
model212,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1429,0.5714,0.0,,0.0,0.0
model212,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2517,0.1818,0.0,1.0,0.0769,0.0
model212,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.1429,0.5714,0.0,,0.0,0.0
model212,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model5,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model5,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
